0	0	11535
1	1	15926
1	2	315555
2	3	02740
2	4	04248
3	5	16749
4	6	217610
4	7	217610
4	8	10202
5	9	10192
6	10	03143
6	11	193826
6	12	04209
7	13	78
8	14	199746
8	15	149242
8	16	199746
9	17	Standard
10	18	01980
10	19	15967
11	20	01227
11	21	00241
12	22	00150
12	23	01398
13	17	Standard
14	17	Standard
14	24	06468
15	17	Standard
15	25	02217
15	26	07262
16	27	01200
17	28	03958
17	29	04979
18	30	200043
18	17	Standard
18	31	03184
18	32	03410
18	33	200043
19	34	05208
19	35	04199
20	17	Standard
21	36	17851
22	37	11642
23	17	Standard
23	38	04297
23	39	04176
24	17	Standard
25	40	03774
25	41	04864
26	42	01900
26	43	04189
27	17	Standard
28	44	00627
28	45	00579
29	46	15976
30	47	262418
30	48	16736
30	49	262418
31	50	130635
31	51	04061
31	52	02995
31	53	130635
32	54	05255
32	55	02815
33	17	Standard
34	56	02433
35	17	Standard
36	17	Standard
36	57	01060
36	58	01825
37	17	Standard
38	17	Standard
39	17	Standard
40	17	Standard
41	59	03215
41	60	02476
42	61	178842
43	62	295755
44	63	11875
44	64	07205
45	65	08874
46	66	15926
47	17	Standard
48	67	10369
48	68	03143
49	69	12232
50	17	Standard
50	70	06225
50	71	00746
51	17	Standard
51	72	05430
51	73	02023
52	74	258370
52	75	258370
52	76	201
53	77	12972
53	78	57970
54	17	Standard
55	79	03594
55	80	01820
56	81	16070
57	82	01860
57	83	00133
58	17	Standard
59	84	218302
60	85	02039
60	86	02463
61	87	15991
62	17	Standard
63	17	Standard
64	17	Standard
65	88	16397
66	89	02518
67	90	00242
67	91	04979
68	92	01398
69	93	263127
69	94	263127
70	95	05235
70	96	02740
71	17	Standard
72	97	10350
73	98	05005
73	99	01095
73	100	149096
74	17	Standard
74	101	05457
74	102	04409
75	103	00472
75	104	00471
76	17	Standard
77	105	196556
78	106	00277
79	17	Standard
80	107	16371
80	108	17447
81	109	184975
81	110	184975
81	111	15958
82	17	Standard
83	112	02363
83	113	00100
84	114	197022
84	115	197022
85	116	02832
85	117	00703
86	118	216893
87	119	144370
87	120	08968
87	121	04767
88	17	Standard
88	122	06275
88	123	06274
89	124	04115
89	125	03883
90	126	04356
90	127	00305
90	128	00305
90	129	151175
90	130	151176
91	17	Standard
92	131	03871
92	132	00918
93	133	02484
93	134	00241
94	17	Standard
95	135	217988
96	136	17624
97	137	02712
97	138	00214
97	139	00214
98	17	Standard
99	17	Standard
100	140	07180
101	17	Standard
101	141	05137
101	142	00424
102	17	Standard
103	17	Standard
104	143	03031
104	144	01045
105	145	08921
105	146	06167
106	17	Standard
107	17	Standard
108	147	01281
109	17	Standard
110	148	06311
110	149	06060
111	150	03857
111	151	01080
112	17	Standard
112	152	00745
113	153	196871
114	17	Standard
115	17	Standard
115	154	01419
115	155	03503
116	156	05085
116	157	06060
117	158	03653
117	159	00855
118	160	12078
119	17	Standard
119	161	00569
119	162	00054
120	163	58109
121	17	Standard
122	164	12372
122	165	02127
123	166	03483
123	167	05521
124	168	12028
125	169	01813
126	170	02526
126	171	05280
127	17	Standard
128	172	03143
128	173	05964
129	174	11485
130	175	182747
130	176	185402
130	177	02911
130	178	182747
131	179	02911
131	180	00023
132	181	12538
133	182	178275
133	183	03143
133	184	04424
134	185	159511
134	17	Standard
134	186	03192
134	187	00207
135	188	10502
136	189	15096
136	190	15096
137	191	10527
137	192	12232
138	17	Standard
139	193	09045
140	17	Standard
141	194	00150
141	195	00114
142	196	01765
142	197	00365
143	198	16515
144	17	Standard
145	199	01677
145	200	01673
146	201	00215
146	202	03954
147	203	02491
147	204	03141
148	17	Standard
149	205	03654
149	206	03002
150	207	217622
150	208	197431
151	17	Standard
151	209	01131
151	210	02896
152	211	00286
152	212	00227
153	17	Standard
154	213	182818
154	17	Standard
154	214	01265
154	215	00777
154	216	182818
155	217	16086
155	218	01655
156	17	Standard
156	219	07273
156	220	00828
157	17	Standard
158	221	01859
158	222	02436
159	17	Standard
160	223	119538
160	224	07522
160	225	00579
161	17	Standard
162	17	Standard
163	226	01261
163	227	05223
164	228	14426
165	229	05009
165	230	02217
166	17	Standard
167	231	193832
168	17	Standard
168	232	300596
168	233	00305
168	234	05457
168	235	00305
169	236	15997
170	17	Standard
171	17	Standard
172	237	03183
172	238	03904
173	17	Standard
174	239	04078
174	240	03251
175	241	05181
175	242	01238
176	17	Standard
176	243	194825
176	244	216583
176	245	00628
177	246	149741
177	247	196924
177	248	258885
177	249	196924
178	250	00354
179	251	183228
180	17	Standard
180	252	03592
180	253	03415
181	254	133832
181	17	Standard
181	255	02209
181	256	06281
182	257	145159
183	17	Standard
184	258	03494
184	259	01024
185	260	296529
185	261	01075
185	262	04380
185	263	296529
186	17	Standard
187	17	Standard
187	264	03627
187	265	06876
188	17	Standard
189	266	03352
189	267	00931
190	254	133972
191	268	178282
192	269	02780
192	270	00546
193	17	Standard
193	271	02540
193	272	09307
194	17	Standard
194	273	03833
194	274	00178
195	275	24542
195	276	24522
195	277	24522
196	278	02888
196	279	10815
197	17	Standard
198	280	216523
199	281	05389
199	282	10416
200	17	Standard
201	17	Standard
202	283	00316
202	284	04176
203	285	06138
203	286	00524
204	287	11821
205	288	193853
205	289	01859
205	290	06317
205	291	193853
206	292	12705
206	293	04669
206	294	01284
